Drug_name,drug_approved,drug_withdrawn,drugBank_id,cancer,comment,num_trials_similar_drug,original_num_trials,moa,target,disease.area,indication,phase,description,cancer_desc
Reserpine,True,False,DB00206,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,vesicular monoamine transporter inhibitor,"SLC18A1, SLC18A2",cardiology,hypertension,Launched,"An alkaloid found in the roots of Rauwolfia serpentina and R. vomitoria. Reserpine inhibits the uptake of norepinephrine into storage vesicles resulting in depletion of catecholamines and serotonin from central and peripheral axon terminals. It has been used as an antihypertensive and an antipsychotic as well as a research tool, but its adverse effects limit its clinical use.",False
Adapalene,True,False,DB00210,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,retinoid receptor agonist,"RARA, RARB, RARG, RXRA, RXRB, RXRG",dermatology,acne vulgaris (AV),Launched,"Acne vulgaris is a multifactorial disorder of the pilosebaceous unit involving increased sebum production, inflammation, and hyperproliferation/hyperkeratinization of the follicular infundibulum. It is also associated with _Cutibacterium acnes_ (also known as _Propionibacterium acnes_). Adapalene is a third-generation topical retinoid used for the treatment of acne vulgaris.[A193518] Adapalene has similar efficacy but a superior safety profile compared to tretinoin.[A193521] [Tazarotene] is more efficacious than adapalene but is designated as pregnancy category X and hence is contraindicated in pregnant women.[A193518] Adapalene can also be combined with benzoyl peroxide (BPO), which possesses bactericidal properties[A193524], and either adapalene alone, or adapalene BPO combination products, are commonly used to treat mild-to-severe acne.[A193518]

Differin®, produced by Galderma Labs, was first granted FDA approval on May 31st, 1996, as a 0.1% adapalene topical solution. Differin was later made available as 0.1% gel, cream, or lotion, or 0.3% gel products. On December 8th, 2008, Galderma Labs gained FDA approval for Epiduo®, a 0.1% adapalene, 2.5% BPO combination gel.[L12873]",False
Midodrine,True,False,DB00211,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,adrenergic receptor agonist,"ADRA1A, ADRA1B, ADRA1D",cardiology,hypotension,Launched,An ethanolamine derivative that is an adrenergic alpha agonist. It is used as a vasoconstrictor agent in the treatment of hypotension.,False
Torasemide,True,False,DB00214,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"electrolyte reabsorption inhibitor, thromboxane receptor antagonist",SLC12A1,cardiology,"edema, congestive heart failure, hypertension",Launched,"Torasemide is a high-ceiling loop diuretic.[A174463] Structurally, it is a pyridine-sulfnyl urea used as an antihypertensive agent.[A319] On the FDA records, torasemide was developed and first introduced by the company Teva Pharmaceuticals and FDA approved in 2002.[L5248] However, torasemide was first approved for clinical use by the FDA on 1993.[L5257]",False
Eletriptan,True,False,DB00216,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,serotonin receptor agonist,"HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2B, HTR7",neurology/psychiatry,migraine headache,Launched,Eletriptan is a second generation triptan drug developed by Pfizer Inc for the treatment of migraine headaches.,False
Bethanidine,True,False,DB00217,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,A guanidinium antihypertensive agent that acts by blocking adrenergic transmission.,False
Glimepiride,True,False,DB00222,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,insulin secretagogue,"ABCC8, KCNJ1, KCNJ11",endocrinology,diabetes mellitus,Launched,"First introduced in 1995, glimepiride is a member of the second-generation sulfonylurea (SU) drug class used for the management of type 2 diabetes mellitus (T2DM) to improve glycemic control. Type 2 diabetes is a metabolic disorder with increasing prevalences worldwide; it is characterized by insulin resistance in accordance with progressive β cell failure and long-term microvascular and macrovascular complications that lead to co-morbidities and mortalities. Sulfonylureas are one of the insulin secretagogues widely used for the management of type 2 diabetes to lower blood glucose levels. The main effect of SUs is thought to be effective when residual pancreatic β-cells are present,[A177715] as they work by stimulating the release of insulin from the pancreatic beta cells and they are also thought to exert extra-pancreatic effects, such as increasing the insulin-mediated peripheral glucose uptake.[A177709] 

Glimepiride works by stimulating the secretion of insulin granules from pancreatic islet beta cells by blocking ATP-sensitive potassium channels (K<SUB>ATP</SUB> channels) and causing depolarization of the beta cells. Compared to [glipizide], another second SU drug, glimepiride has a longer duration of action. It is sometimes classified as a third-generation SU because it has larger substitutions than other second-generation SUs.[A177703] Compared to other SUs, glimepiride was associated with a lower risk of developing hypoglycemia and weight gain in clinical trials [A177709] as well as fewer cardiovascular effects than other SUs due to minimal effects on ischemic preconditioning of cardiac myocytes.[A177703] It is effective in reducing fasting plasma glucose, postprandial glucose, and glycosylated hemoglobin levels and is considered to be a useful, cost-effective treatment option for managing type 2 diabetes mellitus.[A177703] Glimepiride was approved by the Food and Drug Administration (FDA) in the United States in 1995 for the treatment of T2DM. It is commonly marketed under the brand name Amaryl as oral tablets and is typically administered once daily.",False
Guanadrel,True,False,DB00226,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,adrenergic inhibitor,SLC6A2,cardiology,hypertension,Launched,Guanadrel is an antihypertensive agent and postganglionic adrenergic blocking agent.,False
Enflurane,True,False,DB00228,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,membrane permeability inhibitor,"ATP2C1, ATP5D, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GLRA1, GLRB, GRIA1, KCNA1, KCNK10, KCNK18, KCNK2, KCNK3, KCNK9, KCNN4",,,Launched,"Enflurane is a halogenated inhalational anesthetic initially approved by the FDA in 1972. Since this date, it has been withdrawn from the US market.[L13646,L13649] Unlike its other inhalational anesthetic counterparts including [isoflurane] and [halothane], enflurane is known to induce seizure activity. In addition, it is known to cause increased cardio depressant effects when compared to other inhaled anesthetics.[A202022]",False
Reboxetine,True,False,DB00234,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,adrenergic receptor antagonist,SLC6A2,neurology/psychiatry,depression,Launched,"Reboxetine is an antidepressant drug used in the treatment of clinical depression, panic disorder and ADD/ADHD. Its mesylate (i.e. methanesulfonate) salt is sold under tradenames including Edronax, Norebox, Prolift, Solvex, Davedax or Vestra. Reboxetine has two chiral centers, but it only exists as two enantiomers, (R,R)-(-)- and (S,S)-(+)-reboxetine.",False
Milrinone,True,False,DB00235,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,phosphodiesterase inhibitor,"PDE2A, PDE3A, PDE3B, PDE5A",cardiology,congestive heart failure,Launched,A positive inotropic cardiotonic agent with vasodilator properties. It inhibits cAMP phosphodiesterase activity in myocardium and vascular smooth muscle. Milrinone is a derivative of amrinone and has 20-30 times the ionotropic potency of amrinone.,False
Butabarbital,True,False,DB00237,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Butabarbital, or Butisol, is a fast onset barbiturate with short duration of action compared to other barbiturates.[A201977,L13613] This makes butabarbital a useful drug for treating severe insomnia and pre-operative anxiety.[A201977,L13613] Butabarbital is less commonly used in recent years, as more patients are typically prescribed benzodiazepines.[A19735] Its short duration of action gives butabarbital a high abuse potential, comparable to [secobarbital].[A201977,A201980]

Butabarbital was granted FDA approval on 5 June 1939.[L13613]",False
Nevirapine,True,False,DB00238,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,non-nucleoside reverse transcriptase inhibitor,"CYP1A2, CYP2A6, CYP2B6, CYP2C9, CYP2D6, CYP3A4, CYP3A5",infectious disease,human immunodeficiency virus (HIV-1),Launched,"A potent, non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with nucleoside analogues for treatment of Human Immunodeficiency Virus Type 1 (HIV-1) infection and AIDS. Structurally, nevirapine belongs to the dipyridodiazepinone chemical class.",False
Oxiconazole,True,False,DB00239,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,bacterial cell wall synthesis inhibitor,,infectious disease,"tinea pedis, tinea cruris, tinea corporis",Launched,"Oxiconazole is an antifungal agent that is commonly found in topical formulations. It is marketed under the brand names Oxistat and Oxistat, and is used in the treatment of various skin infections such as athlete's foot, jock itch and ringworm.",False
Butalbital,True,False,DB00241,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,GABA receptor antagonist,"CHRNA4, CHRNA7, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIA2, GRIK2",neurology/psychiatry,"headache, muscle relaxant",Launched,"Butalbital, or 5-allyl-5-isobutylbarbituric acid, is a derivative of barbituric acid which the hydrogens at position 5 are substituted by an allyl group and an isobutyl group. It is a short-to-intermediate acting member of barbiturates that exhibit muscle-relaxing and anti-anxiety properties that produce central nervous system (CNS) depression that ranges from mild sedation to general anesthesia.[A177754] Butalbital has a low degree of selectivity and a narrow therapeutic index.[A177754] Typically indicated to manage tension (or muscle contraction) headaches, butalbital is often combined with one or more therapeutic agents, such as acetylsalicylic acid, acetaminophen, aspirin, and caffeine. There have not been clinical trials that evaluate the clinical efficacy of butalbital in migraines [A177754] thus it is not indicated for such condition. As with other barbiturates, butalbital carries a risk of abuse or misuse potential, intoxication, hangover, tolerance, dependence, and overdosage possibly leading to death.[L10370] Butalbital‐containing analgesics can also produce a drug‐induced headache in addition to tolerance and dependence. Due to these risks, the use of butalbital-containing combination products is typically limited for use only in cases where other medications are deemed ineffective and such usage is advised to be carefully monitored.[A177754]",False
Benzatropine,True,False,DB00245,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,acetylcholine receptor antagonist,"CHRM1, HRH1, SLC6A3",neurology/psychiatry,"extrapyramidal symptoms (EPS), Parkinson's Disease",Launched,"Benztropine, with the chemical formula 3alpha-diphenylmethoxytropane, is a tropane-based dopamine inhibitor used for the symptomatic treatment of Parkinson's disease. It is a combination molecule between a tropane ring, similar to cocaine, and a diphenyl ether from the dialkylpiperazines determined to be a dopamine uptake inhibitor since 1970. The generation of structure-activity relationships proved that benztropine derivatives with the presence of a chlorine substituent in the para position in one of the phenyl rings produces an increased potency for dopamine uptake inhibition as well as a decreased inhibition of serotonin and norepinephrine.[A37914] Benztropine was developed by USL Pharma and officially approved by the FDA on 1996.[L5500]",False
Ziprasidone,True,False,DB00246,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"dopamine receptor antagonist, serotonin receptor antagonist","ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR3A, HTR6, HTR7, SLC6A4",neurology/psychiatry,"schizophrenia, bipolar disorder",Launched,"Disorders such as schizophrenia and bipolar disorder can significantly impair mood, cognition, and behavior.[A190525] These mental illnesses can often be accompanied by comorbidities such as depression and substance abuse, and can significantly impact the quality of life of patients and caregivers.[A190525] Luckily, several treatment options for psychotic disorders have been introduced to market since the realization of chlorpromazine's antipsychotic properties in 1952.[A190525] 

Second generation antipsychotics (commonly referred to as atypical antipsychotics) include [clozapine], [quetiapine], [olanzapine], [aripiprazole] and [ziprasidone] among others, and are generally thought to be as efficacious as first generation antipsychotics but differ in their adverse effect profiles.[A190525,A190534] First generation antipsychotics are associated with extrapyramidal adverse effects while atypical antipsychotics are linked to weight gain, impaired glucose tolerance and metabolic syndrome.[A190534,A190537] 

Ziprasidone is used to treat schizophrenia and bipolar disorder.[A180748] It can effectively reduce the rate and time of relapses in schizophrenia, and can be used to treat manic episodes in bipolar disorder although the mechanism of action is unknown.[A180748] Although ziprasidone is classified as an atypical antipsychotic, it appears to have a lower incidence of metabolic adverse effects compared to other medications in the same class.[A190525]",False
Methysergide,True,False,DB00247,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"An ergot derivative that is a congener of lysergic acid diethylamide.  It antagonizes the effects of serotonin in blood vessels and gastrointestinal smooth muscle, but has few of the properties of other ergot alkaloids. Methysergide is used prophylactically in migraine and other vascular headaches and to antagonize serotonin in the carcinoid syndrome.",False
Clotrimazole,True,False,DB00257,0,"Under dispute. Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"cytochrome P450 inhibitor, imidazoline receptor ligand","CYP3A4, KCNN4, NR1I2, NR1I3, TRPM2, TRPM4, TRPM8",infectious disease,"vulvovaginal candidiasis, oropharyngeal candidiasis",Launched,"This drug is a broad spectrum antimycotic or antifungal agent. Clotrimazole's antimycotic properties were discovered in the late 1960s [A174094]. Clotrimazole falls under the _imidazole_ category of _azole_ antifungals, possessing broad-spectrum antimycotic activity [A174094].  It is available in various preparations, including creams, pessaries, and troche formulations (slowly dissolving tablets).  As well as its antifungal activity, clotrimazole has become a drug of interest in treating several other diseases such as sickle cell disease, malaria and some cancers [A174094].  The minimal side effect profile of this drug and its uncomplicated metabolic profile have led it to gain widespread acceptance for the treatment of mycotic outbreaks such as vaginal yeast infections as well as athlete's foot [A174097].",True
Sulfanilamide,True,False,DB00259,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,carbonic anhydrase inhibitor,"CYP2C19, CYP2C9, CYP2D6, CYP2E1, CYP3A4",infectious disease,vulvovaginal candidiasis,Launched,Sulfanilamide is a molecule containing the sulfonamide functional group attached to an aniline.,False
Sulfisoxazole,True,False,DB00263,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,bacterial antifolate,,infectious disease,urinary tract infections,Launched,A short-acting sulfonamide antibacterial with activity against a wide range of gram- negative and gram-positive organisms.,False
Ropinirole,True,False,DB00268,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,dopamine receptor agonist,"ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C",neurology/psychiatry,"Parkinson's Disease, restless leg syndrome",Launched,"Ropinirole, also known as _ReQuip_, is a non-ergoline dopamine agonist used in Parkinson's disease and restless legs syndrome [FDA label], [A174547]. It is manufactured by GlaxoSmithKline Pharmaceuticals.   Ropinirole was initially approved in 1997 by the FDA [FDA label] for the management of Parkinson's disease. In 2005, it was the first drug approved in the US for the management of primary moderate to severe restless legs syndrome [A174547].

 In 2008, the extended-release capsules of ropinirole were approved, allowing for less frequent dosing, therefore increased compliance, and offering a similar side effect profile and efficacy to previous formulations of ropinirole [A35711].",False
Isradipine,True,False,DB00270,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,calcium channel blocker,"CACNA1C, CACNA1D, CACNA1F, CACNA1H, CACNA1S, CACNA2D1, CACNA2D2, CACNB2",cardiology,hypertension,Launched,"Isradipine belongs to the dihydropyridine (DHP) class of calcium channel blockers (CCBs), the most widely used class of CCBs. It is structurally related to felodipine, nifedipine, and nimodipine and is the most potent calcium-channel blocking agent of the DHP class. Isradipine binds to calcium channels with high affinity and specificity and inhibits calcium flux into cardiac and arterial smooth muscle cells. It exhibits greater selectivity towards arterial smooth muscle cells owing to alternative splicing of the alpha-1 subunit of the channel and increased prevalence of inactive channels in smooth muscle cells. Isradipine may be used to treat mild to moderate essential hypertension.",False
Diatrizoate,True,False,DB00271,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,radiology,contrast agent,Launched,"A commonly used x-ray contrast medium.  As diatrizoate meglumine and as Diatrizoate sodium, it is used for gastrointestinal studies, angiography, and urography.",False
Topiramate,True,False,DB00273,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"carbonic anhydrase inhibitor, glutamate receptor antagonist, kainate receptor antagonist","CA1, CA12, CA2, CA4, CA7, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIA1, GRIA2, GRIA3, GRIA4, GRIK1, GRIK2, GRIK3, GRIK4, GRIK5, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A",neurology/psychiatry,"epilepsy, migraine headache",Launched,"Topiramate is a anti-epileptic drug used to manage seizures and prevent migraines.[A175249] It was initially approved by the FDA in 1996. In 2004, topiramate was approved for the prevention of migraine in adults.[A188309,L10544] Since 2012, the extended-release formulation has been approved in combination with [phentermine] for chronic weight management therapy in adults.[L10550] 

Characteristics that distinguish topiramate from other antiepileptic drugs are a monosaccharide chemical structure containing a sulfamate, and 40% of its mass accounted for by oxygen.[A175249] Interestingly, topiramate was discovered by chance when attempts were made to formulate a novel antidiabetic drug.[A188330]",False
Olmesartan,True,False,DB00275,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,angiotensin receptor antagonist,AGTR1,cardiology,hypertension,Launched,"Olmesartan belongs to the angiotensin II receptor blocker (ARB) family of drugs, which also includes [telmisartan], [candesartan], [losartan], [valsartan], and [irbesartan]. ARBs selectively bind to angiotensin receptor 1 (AT1) and prevent the protein angiotensin II from binding and exerting its hypertensive effects, which include vasoconstriction, stimulation and synthesis of aldosterone and ADH, cardiac stimulation, and renal reabsorption of sodium, among others. Overall, olmesartan's physiologic effects lead to reduced blood pressure, lower aldosterone levels, reduced cardiac activity, and increased excretion of sodium. 

Olmesartan also affects the renin-angiotensin aldosterone system (RAAS), which plays an important role in hemostasis and regulation of kidney, vascular, and cardiac functions. Pharmacological blockade of RAAS via  AT1 receptor blockade inhibits negative regulatory feedback within RAAS, which is a contributing factor to the pathogenesis and progression of cardiovascular disease, heart failure, and renal disease. In particular, heart failure is associated with chronic activation of RAAS, leading to inappropriate fluid retention, vasoconstriction, and ultimately a further decline in left ventricular function. ARBs have been shown to have a protective effect on the heart by improving cardiac function, reducing afterload, increasing cardiac output and preventing ventricular hypertrophy and remodelling.[A174154] 

By comparison, the angiotensin-converting enzyme inhibitor (ACEi) class of medications (which includes drugs such as [ramipril], [lisinopril], and [perindopril]) inhibit the conversion of angiotensin I to angiotensin II through inhibition of the ACE enzyme. However, this does not prevent the formation of all angiotensin II within the body. The angiotensin II receptor blocker (ARB) family of drugs unique in that it blocks all angiotensin II activity, regardless of where or how it was synthesized. 

Olmesartan is commonly used for the management of hypertension and Type 2 Diabetes-associated nephropathy, particularly in patients who are unable to tolerate ACE inhibitors. ARBs such as olmesartan have been shown in a number of large-scale clinical outcomes trials to improve cardiovascular outcomes including reducing risk of myocardial infarction, stroke, the progression of heart failure, and hospitalization.[A174124,A178153,A173869,A185324,A185327,A185333,A185342,A185345] Like other ARBs, olmesartan blockade of RAAS slows the progression of diabetic nephropathy due to its renoprotective effects.[A185906,A185909,A185912] 

Orally available olmesartan is produced as the prodrug olmesartan medoxomil which is rapidly converted _in vivo_ to the pharmacologically active olmesartan.[A175330] It was developed by Daiichi Sankyo Pharmaceuticals and approved in 2002.[A175345, L5560]",False
Disopyramide,True,False,DB00280,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,sodium channel blocker,"CHRM1, CHRM2, CHRM3, KCND2, KCND3, KCNH2, SCN5A",cardiology,"ventricular tachycardia (VT), ventricular arrhythmias",Launched,A class I anti-arrhythmic agent (one that interferes directly with the depolarization of the cardiac membrane and thus serves as a membrane-stabilizing agent) with a depressant action on the heart similar to that of guanidine. It also possesses some anticholinergic and local anesthetic properties.,False
Clemastine,True,False,DB00283,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,histamine receptor antagonist,HRH1,allergy,"allergic rhinitis, urticaria",Launched,"An ethanolamine-derivative, first generation histamine H1 antagonist used in hay fever, rhinitis, allergic skin conditions, and pruritus. It causes drowsiness.",False
Acarbose,True,False,DB00284,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,glucosidase inhibitor,"AMY2A, GAA, MGAM, SI",endocrinology,diabetes mellitus,Launched,"An inhibitor of alpha glucosidase that retards the digestion and absorption of carbohydrates in the small intestine and hence reduces the increase in blood-glucose concentrations after a carbohydrate load. It is given orally to non-insulin dependent diabetes mellitus patients where diet modification or oral hypoglycemic agents do not control their condition. (From Martindale The Extra Pharmacopoeia, 31st ed)",False
Travoprost,True,False,DB00287,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,prostanoid receptor agonist,PTGFR,ophthalmology,"ocular hypertension, glaucoma",Launched,"Travoprost ophthalmic solution is a topical medication used for controlling the progression of glaucoma or ocular hypertension, by reducing intraocular pressure [FDA Label]. It is a synthetic prostaglandin F2alpha analog [FDA Label]. Having been a well-received therapeutic agent with demonstrated efficacy and safety, travoprost is currently approved by the US FDA as a first-line treatment for lowering intraocular pressure in patients with open-angle glaucoma or ocular hypotension [L5155]. Furthermore, this approval also solidifies the medication as the first and only prostaglandin analog approved by the FDA for first-line treatment of glaucoma patients that does not contain the preservative benzalkonium chloride [L5155]. Moreover, travoprost is also currently approved in the EU for the decrease of elevated intraocular pressure in paediatric patients aged 2 months to < 18 years with ocular hypertension or paediatric glaucoma [L5146, L5152].",False
Dapiprazole,True,False,DB00298,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,adrenergic receptor antagonist,"ADRA1A, ADRA1B, ADRA1D",ophthalmology,mydriasis,Launched,Dapiprazole (U.S. trade name Rev-Eyes) is an alpha blocker. It is found in ophthalmic solutions used to reverse mydriasis after an eye examination.,False
Flucloxacillin,True,False,DB00301,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,bacterial cell wall synthesis inhibitor,,"infectious disease, otolaryngology, dermatology, gastroenterology","gram-positive bacterial infections, tonsillitis, sinusitis, pneumonia, eczema, endocarditis, meningitis, enteritis, bacterial septicemia",Launched,Antibiotic analog of [cloxacillin].,False
Talbutal,True,False,DB00306,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Talbutal, also called 5-allyl-5-sec-butylbarbituric acid, is a barbiturate with a short to intermediate duration of action. Talbutal is a schedule III drug in the U.S.",False
Ibutilide,True,False,DB00308,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,potassium channel blocker,"CACNA1C, CACNA2D1, CACNB1, CACNG1, KCNH2, KCNH6, KCNH7, KCNJ11, KCNK1, KCNK6",cardiology,atrial fibrillation (AF),Launched,Ibutilide is a Class III antiarrhythmic agent available in intravenous formulations. It is indicated for the conversion of acute atrial flutter and recent onset atrial fibrillation to normal sinus rhythm (NSR).,False
